created,text
2021-12-05 6:30:22,"RT @sikcrets: a moment of silence and prayer for our king of apocalypse, kim sehoon. it’s ironic how he got everything prepared to survive…"
2021-12-05 6:30:21,"RT @kdramassential: ISTG THESE PEOPLE DOESN'T ONLY DESERVE TO BE INFECTED, BUT THEY ALSO DESERVE TO DIE A PAINFUL DEATH! NO WORDS CAN DESCR…"
2021-12-05 6:30:19,"RT @garaseun: ANDREW HAS REMOVED HIS MASK AND HE ACTUALLY KILLED THE CLEANING LADY THE 15TH FLOOR GUY AND THE POLICE GUY WTF 
#Happiness #H…"
2021-12-05 6:30:17,RT @AninGalaxy: If the ending of #Happiness is Yihyun falling from the rooftop even saebom try to save him. Like the opposite of their firs…
2021-12-05 6:30:14,"RT @garaseun: he held it in HE HELD IT IN HE HELD IT IN.

#Happiness #HappinessEp10  https://t.co/410bKmUAxz"
2021-12-05 6:30:13,"RT @kdrama_baragi: Andrew stabs the police ajhussi in front of Seoyoon and then calmly continues Jenga PSYCHO 

#HappinessEp10 #Happiness…"
2021-12-05 6:30:12,"RT @fxytrbl: If happiness started with Yi Hyun on the rooftop and is ending with him on the rooftop..
#HappinessEp10 #Happiness https://t.c…"
2021-12-05 6:30:09,"RT @kdsigx: they really are the team of the year, even though they each handle situations differently they created a masterpiece with these…"
2021-12-05 6:30:08,"RT @kimyoungdaes: two eps left and i am definitely not ready to say goodbye to them 🥲🥲🥲💔

#Happiness #HappinessEp10 https://t.co/mfOeFQC4qI"
2021-12-05 6:30:04,"RT @capsaisikii_: I'M GONNA FUCKING RIOT TVN OH MY GOD I'M CRYING THE PREVIEW KZJSHSHS YIHYUN AND SAEBOM DON'T DESERVE THIS 😭😭😭

#Happiness…"
2021-12-05 6:30:03,"""Living among children shows the rise of virtue""

Please visit : https://t.co/IgISLTQ41C

#childdevelopment… https://t.co/2y7upLq0O3"
2021-12-05 6:30:01,"RT @silly_love__: Happiness drama never made us Happy. Every episode gave us tears for our main leads. 😭😭😭
#HappinessEp10 #Happiness https:…"
2021-12-05 6:29:56,RT @LeadingGuru: Happy #Sunday . Make the most of today. Breathe. Relax. Be grateful. Be generous. Spoil yourself. Call a friend - you know…
2021-12-05 6:29:50,"RT @capsaisikii_: yihyun's happiness is saebom's safety and now that he knows she's safe, he looks so contented and peaceful already. THAT'…"
2021-12-05 6:29:44,"RT @garaseun: ANDREW HAS REMOVED HIS MASK AND HE ACTUALLY KILLED THE CLEANING LADY THE 15TH FLOOR GUY AND THE POLICE GUY WTF 
#Happiness #H…"
2021-12-05 6:29:44,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:29:42,"RT @garaseun: “i thought about it.. and i feel like your wound is healing too quickly and you’re not drinking water.” she knows

#Happiness…"
2021-12-05 6:29:38,"RT @capsaisikii_: yihyun's happiness is saebom's safety and now that he knows she's safe, he looks so contented and peaceful already. THAT'…"
2021-12-05 6:29:35,"RT @kimyoungdaes: #Happiness #HappinessEp10

he's in pain and             she knows but
didn't want to                chose to trust
hurt h…"
2021-12-05 6:29:31,omg. Happiness is just getting better and better each episode! It's so thrilling! can't wait for the next episodes.… https://t.co/rql6EAzFcJ
2021-12-05 6:29:28,"RT @capsaisikii_: I'M GONNA FUCKING RIOT TVN OH MY GOD I'M CRYING THE PREVIEW KZJSHSHS YIHYUN AND SAEBOM DON'T DESERVE THIS 😭😭😭

#Happiness…"
2021-12-05 6:29:21,"RT @kordramafeverph: Now this is my final four!! THIS WILL NEVER CHANGE!! HOPING THAT THEY WILL SURVIVE FROM THIS VIRUS. 🤞

#Happiness #Hap…"
2021-12-05 6:29:20,"RT @capsaisikii_: yihyun's happiness is saebom's safety and now that he knows she's safe, he looks so contented and peaceful already. THAT'…"
2021-12-05 6:29:10,"RT @kdrama_baragi: does it ever                    just how fast
drive you                        the night
crazy…"
2021-12-05 6:29:08,"RT @kdramassential: ""what are you looking at?"" 

*showed his phone with his family as its wallpaper* 

his family has and always been his s…"
2021-12-05 6:29:07,"RT @capsaisikii_: I'M GONNA FUCKING RIOT TVN OH MY GOD I'M CRYING THE PREVIEW KZJSHSHS YIHYUN AND SAEBOM DON'T DESERVE THIS 😭😭😭

#Happiness…"
2021-12-05 6:29:07,"RT @kdsigx: they really are the team of the year, even though they each handle situations differently they created a masterpiece with these…"
2021-12-05 6:29:03,"RT @silly_love__: Happiness drama never made us Happy. Every episode gave us tears for our main leads. 😭😭😭
#HappinessEp10 #Happiness https:…"
2021-12-05 6:29:03,RT @midorawr: the only king i would bow down for 🙇🏻‍♀️ #해피니스 #Happiness #HappinessEp10 #HappinessEp9 https://t.co/aNsSUTu2x2
2021-12-05 6:29:01,"RT @garaseun: okay but the fact that he took a step back when he usually would’ve went “why, are you okay? did you get hurt?” but he rather…"
2021-12-05 6:29:01,"RT @_hyooooooo: Thread episode spesial tving alias delete scene 🤭

#HAPPINESS"
2021-12-05 6:28:58,"Oh no, my anger issues, its increasing!!!!!!! I HATE THEM SM #Happiness #HappinessEp10 https://t.co/PxlNWX3DVg"
2021-12-05 6:28:58,"RT @silly_love__: Happiness drama never made us Happy. Every episode gave us tears for our main leads. 😭😭😭
#HappinessEp10 #Happiness https:…"
2021-12-05 6:28:56,"RT @kimyoungdaes: two eps left and i am definitely not ready to say goodbye to them 🥲🥲🥲💔

#Happiness #HappinessEp10 https://t.co/mfOeFQC4qI"
2021-12-05 6:28:55,"RT @capsaisikii_: yihyun's happiness is saebom's safety and now that he knows she's safe, he looks so contented and peaceful already. THAT'…"
2021-12-05 6:28:53,"RT @kdrama_baragi: does it ever                    just how fast
drive you                        the night
crazy…"
2021-12-05 6:28:50,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:28:48,"RT @capsaisikii_: yihyun's happiness is saebom's safety and now that he knows she's safe, he looks so contented and peaceful already. THAT'…"
2021-12-05 6:28:44,"RT @kimyoungdaes: two eps left and i am definitely not ready to say goodbye to them 🥲🥲🥲💔

#Happiness #HappinessEp10 https://t.co/mfOeFQC4qI"
2021-12-05 6:28:41,"RT @kdrama_baragi: S : If you have anything to say, tell your nuna
Y: yes nuna

Even in this cutie scene why I can feel his eyes in pain😭🤍…"
2021-12-05 6:28:33,"RT @kimyoungdaes: two eps left and i am definitely not ready to say goodbye to them 🥲🥲🥲💔

#Happiness #HappinessEp10 https://t.co/mfOeFQC4qI"
2021-12-05 6:28:30,"RT @capsaisikii_: yihyun's happiness is saebom's safety and now that he knows she's safe, he looks so contented and peaceful already. THAT'…"
2021-12-05 6:28:29,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:28:28,RT @kdramashin: interior design in le ciel apartment of #happiness 🏢 https://t.co/8WnfAcPaTE
2021-12-05 6:28:28,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:28:27,"RT @kimyoungdaes: two eps left and i am definitely not ready to say goodbye to them 🥲🥲🥲💔

#Happiness #HappinessEp10 https://t.co/mfOeFQC4qI"
2021-12-05 6:28:26,"RT @about_hyungsik: Hyungsik is such a cutie look at his smile🥰
#Happiness #해피니스 https://t.co/8ebov0M4QH"
2021-12-05 6:28:24,"RT @kimyoungdaes: #Happiness #HappinessEp10

he's in pain and             she knows but
didn't want to                chose to trust
hurt h…"
2021-12-05 6:28:22,"RT @solvrse: i have never felt such a strong urge to slap someone through the screen before
#HappinessEp10 #Happiness #해피니스 https://t.co/Mv…"
2021-12-05 6:28:20,"RT @kdramafolder: this is so funny hELP-
#Happiness #HappinessEp9 https://t.co/uHymyKYmRj"
2021-12-05 6:28:19,"RT @kimyoungdaes: #Happiness #HappinessEp10

he's in pain and             she knows but
didn't want to                chose to trust
hurt h…"
2021-12-05 6:28:19,"RT @garaseun: “put the gun down” THIS WAS SO HOT OF HIM WHAT A DILF HE IS.

#Happiness #HappinessEp10 https://t.co/nc5LKwt5hh"
2021-12-05 6:28:18,"RT @garaseun: he held it in HE HELD IT IN HE HELD IT IN.

#Happiness #HappinessEp10  https://t.co/410bKmUAxz"
2021-12-05 6:28:17,"RT @garaseun: we all definitely need a loop of yihyun saying “yes, noona” 

#Happiness #HappinessEp10 https://t.co/qW1WuEXFZ9"
2021-12-05 6:28:11,"RT @kimyoungdaes: #Happiness #HappinessEp10

he's in pain and             she knows but
didn't want to                chose to trust
hurt h…"
2021-12-05 6:28:08,"RT @kimyoungdaes: #Happiness #HappinessEp10

he's in pain and             she knows but
didn't want to                chose to trust
hurt h…"
2021-12-05 6:28:07,"RT @kdrama_baragi: Andrew stabs the police ajhussi in front of Seoyoon and then calmly continues Jenga PSYCHO 

#HappinessEp10 #Happiness…"
2021-12-05 6:28:05,"RT @capsaisikii_: yihyun's happiness is saebom's safety and now that he knows she's safe, he looks so contented and peaceful already. THAT'…"
2021-12-05 6:28:00,After long time we buddies came together. Lots of fun  #Happiness #friendship . https://t.co/Fs4AylpWKr
2021-12-05 6:27:58,"RT @kdr_kyle: ENOUGH.
#Happiness #HappinessEp10 https://t.co/hWalQHcuu6"
2021-12-05 6:27:55,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:27:53,"RT @silly_love__: Happiness drama never made us Happy. Every episode gave us tears for our main leads. 😭😭😭
#HappinessEp10 #Happiness https:…"
2021-12-05 6:27:42,"RT @kdrama_baragi: This drama is not only a zombie drama but a psychopath drama too? WHAT THE FVCK IS GOING ON

 #HappinessEp10 #Happiness…"
2021-12-05 6:27:38,"RT @kdramassential: ""shall we get married for real?"" 

""all along i thought im alone"" 

all of these things that sae bom said to him is pla…"
2021-12-05 6:27:38,"RT @hyojoohasun: [211203 #해피니스 RATINGS] 🌜
The 9th episode recorded a total viewership record of 3.7% nationwide and 4.3% in the Seoul Metro…"
2021-12-05 6:27:37,"RT @kimyoungdaes: two eps left and i am definitely not ready to say goodbye to them 🥲🥲🥲💔

#Happiness #HappinessEp10 https://t.co/mfOeFQC4qI"
2021-12-05 6:27:35,"RT @kdrama_baragi: Yihyun is already infected, so the zombie runs only to Saebom. OMG WHAT????😱

#HappinessEp10 #Happiness

 https://t.co/w…"
2021-12-05 6:27:34,"RT @kdrama_baragi: does it ever                    just how fast
drive you                        the night
crazy…"
2021-12-05 6:27:33,"RT @hyojoohasun: [211205 #해피니스 update] 🌜
tvN just posted the behind making of episodes 9 and 10 on YouTube!

🔗: https://t.co/7CVYycsIPG

#H…"
2021-12-05 6:27:24,"RT @capsaisikii_: yihyun's happiness is saebom's safety and now that he knows she's safe, he looks so contented and peaceful already. THAT'…"
2021-12-05 6:27:16,RT @kdramatreats: I'm so obsessed with Hyungsik and Hyojoo's chemistry and knowing that #Happiness is both their comeback drama makes me so…
2021-12-05 6:27:14,"RT @kdrama_baragi: does it ever                    just how fast
drive you                        the night
crazy…"
2021-12-05 6:27:10,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:27:03,"Andrew is the pysco killer🔪☠
that's why he's always covering his face.#Happiness #tvN https://t.co/VnTsmolXwk"
2021-12-05 6:27:01,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:26:59,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:26:58,"RT @kdrama_baragi: Yihyun is already infected, so the zombie runs only to Saebom. OMG WHAT????😱

#HappinessEp10 #Happiness

 https://t.co/w…"
2021-12-05 6:26:56,"RT @kimyoungdaes: #Happiness #HappinessEp10

he's in pain and             she knows but
didn't want to                chose to trust
hurt h…"
2021-12-05 6:26:55,"RT @kimyoungdaes: #Happiness #HappinessEp10

he's in pain and             she knows but
didn't want to                chose to trust
hurt h…"
2021-12-05 6:26:54,"RT @kdrama_baragi: S : If you have anything to say, tell your nuna
Y: yes nuna

Even in this cutie scene why I can feel his eyes in pain😭🤍…"
2021-12-05 6:26:54,"RT @garaseun: ANDREW HAS REMOVED HIS MASK AND HE ACTUALLY KILLED THE CLEANING LADY THE 15TH FLOOR GUY AND THE POLICE GUY WTF 
#Happiness #H…"
2021-12-05 6:26:46,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:26:46,"RT @kdrama_baragi: Saebom is already suspicious to yihyun. Yihyun avoids his eyes as she pours water, so she immediately get suspicious to…"
2021-12-05 6:26:45,please happy ending oh😭 #Happiness #ParkHyungSik #HappinessEp11 https://t.co/m8buxqrvGS
2021-12-05 6:26:40,RT @midorawr: the only king i would bow down for 🙇🏻‍♀️ #해피니스 #Happiness #HappinessEp10 #HappinessEp9 https://t.co/aNsSUTu2x2
2021-12-05 6:26:40,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:26:31,"RT @silly_love__: Happiness drama never made us Happy. Every episode gave us tears for our main leads. 😭😭😭
#HappinessEp10 #Happiness https:…"
2021-12-05 6:26:28,"RT @capsaisikii_: I'M GONNA FUCKING RIOT TVN OH MY GOD I'M CRYING THE PREVIEW KZJSHSHS YIHYUN AND SAEBOM DON'T DESERVE THIS 😭😭😭

#Happiness…"
2021-12-05 6:26:27,"RT @kimyoungdaes: two eps left and i am definitely not ready to say goodbye to them 🥲🥲🥲💔

#Happiness #HappinessEp10 https://t.co/mfOeFQC4qI"
2021-12-05 6:26:23,RT @garaseun: his wound healed too quickly so he cut himself again so saebom wouldn’t find the wound suspicious… why does he go such length…
2021-12-05 6:26:19,"RT @kdramassential: ""what are you looking at?"" 

*showed his phone with his family as its wallpaper* 

his family has and always been his s…"
2021-12-05 6:26:18,"RT @Gitanjali_DS: Let #Happiness of #Weekend prevail…
#HappySunday
#sundayvibes https://t.co/g1ne2NU11m"
2021-12-05 6:26:12,"RT @kimyoungdaes: two eps left and i am definitely not ready to say goodbye to them 🥲🥲🥲💔

#Happiness #HappinessEp10 https://t.co/mfOeFQC4qI"
2021-12-05 6:26:12,"RT @liveinkdrama: I think saebom know that yihyun is already being infected 🥺

#Happiness
#HappinessEp10 https://t.co/nNzzrKGAIx"
2021-12-05 6:26:05,RT @kdramatreats: I'm so obsessed with Hyungsik and Hyojoo's chemistry and knowing that #Happiness is both their comeback drama makes me so…
2021-12-05 6:26:04,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:26:00,"RT @kdramassential: ""shall we get married for real?"" 

""all along i thought im alone"" 

all of these things that sae bom said to him is pla…"
2021-12-05 6:25:53,RT @hiychingu: yihyun knowing that he is infected &amp; will get thirsty if he sees blood didn’t have any second thoughts when he saw his hyung…
2021-12-05 6:25:49,"RT @kdrama_baragi: Hyungsik : Next
Hyojoo : Level

And they're starting to dance next level by aespa omgggg so cute😍❤️

#Happiness

 https:…"
2021-12-05 6:25:46,RT @kdramatreats: I'm so obsessed with Hyungsik and Hyojoo's chemistry and knowing that #Happiness is both their comeback drama makes me so…
2021-12-05 6:25:44,RT @garaseun: his wound healed too quickly so he cut himself again so saebom wouldn’t find the wound suspicious… why does he go such length…
2021-12-05 6:25:39,"RT @kimyoungdaes: two eps left and i am definitely not ready to say goodbye to them 🥲🥲🥲💔

#Happiness #HappinessEp10 https://t.co/mfOeFQC4qI"
2021-12-05 6:25:37,"RT @kdrama_baragi: Andrew stabs the police ajhussi in front of Seoyoon and then calmly continues Jenga PSYCHO 

#HappinessEp10 #Happiness…"
2021-12-05 6:25:32,"RT @hyojoohasun: [211205 #해피니스 update] 🌜
tvN just posted the behind making of episodes 9 and 10 on YouTube!

🔗: https://t.co/7CVYycsIPG

#H…"
2021-12-05 6:25:29,"RT @sikcrets: a moment of silence and prayer for our king of apocalypse, kim sehoon. it’s ironic how he got everything prepared to survive…"
2021-12-05 6:25:29,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:25:26,"RT @garaseun: YIHYUNS HAND ON SAEBOMS FACE AS IF HES SAYING GOODBYE WHAT

#Happiness #HappinessEp10 https://t.co/pbIFZwwrJu"
2021-12-05 6:25:23,RT @kdramassential: the way yi hyun slowly take a step back when their body are so close to each other breaks my heart 😫 he's so afraid tha…
2021-12-05 6:25:22,"RT @garaseun: okay but the fact that he took a step back when he usually would’ve went “why, are you okay? did you get hurt?” but he rather…"
2021-12-05 6:25:20,gonna miss this badass bbys ☹️ uri #Happiness couple https://t.co/mryg7UObGE
2021-12-05 6:25:17,"RT @kdrama_baragi: S : If you have anything to say, tell your nuna
Y: yes nuna

Even in this cutie scene why I can feel his eyes in pain😭🤍…"
2021-12-05 6:25:16,"RT @capsaisikii_: I'M GONNA FUCKING RIOT TVN OH MY GOD I'M CRYING THE PREVIEW KZJSHSHS YIHYUN AND SAEBOM DON'T DESERVE THIS 😭😭😭

#Happiness…"
2021-12-05 6:25:16,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:25:12,"RT @garaseun: ANDREW HAS REMOVED HIS MASK AND HE ACTUALLY KILLED THE CLEANING LADY THE 15TH FLOOR GUY AND THE POLICE GUY WTF 
#Happiness #H…"
